FOD_ID,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,STAT_CAUSE_DESCR,FIRE_SIZE,lon,lat
3493,2005,2005-03-19T00:00:00+00:00,78,Arson,293.0,-79.07166666999996,38.55777778000004
3501,2005,2005-03-30T00:00:00+00:00,89,Arson,1.0,-79.38333332999997,38.30000000000007
3523,2005,2005-04-03T00:00:00+00:00,93,Miscellaneous,11.1,-79.02944443999996,38.74138889000005
3524,2005,2005-04-09T00:00:00+00:00,99,Arson,0.1,-82.44777777999997,36.85472222000004
3532,2005,2005-05-28T00:00:00+00:00,148,Miscellaneous,2.5,-80.20194443999998,37.760277780000024
3534,2005,2005-04-10T00:00:00+00:00,100,Miscellaneous,32.0,-80.15027777999995,37.64583333000007
3535,2005,2005-04-17T00:00:00+00:00,107,Miscellaneous,5.0,-80.09388888999996,37.83194444000003
3536,2005,2005-01-13T00:00:00+00:00,13,Miscellaneous,6.0,-79.57611110999994,37.897500000000036
3538,2005,2005-06-17T00:00:00+00:00,168,Lightning,7.6,-79.84444443999996,38.18194444000005
3540,2005,2005-10-01T00:00:00+00:00,274,Miscellaneous,0.1,-79.00666666999996,38.553333330000044
3541,2005,2005-09-22T00:00:00+00:00,265,Debris Burning,2.0,-82.80833332999998,36.79694444000006
3542,2005,2005-09-21T00:00:00+00:00,264,Campfire,7.0,-78.35305555999997,38.85000000000008
3543,2005,2005-09-21T00:00:00+00:00,264,Arson,0.75,-82.62444443999993,37.149444440000025
3546,2005,2005-08-06T00:00:00+00:00,218,Lightning,33.0,-79.65749999999997,37.50333333000003
5114,2005,2005-11-03T00:00:00+00:00,307,Miscellaneous,0.3,-79.34388888999996,38.29055556000003
5409,2005,2005-11-06T00:00:00+00:00,310,Miscellaneous,2.0,-79.59944443999996,37.901111110000045
5412,2005,2005-11-13T00:00:00+00:00,317,Arson,2.0,-82.54305555999997,36.892222220000065
5664,2005,2005-04-17T00:00:00+00:00,107,Campfire,3.0,-81.21666666999994,37.08333333000007
